 Td        ID        Tj        Df        Dd        Db
  1      2003         1         0         0         0
  2      2000         1         0         1         1
  2      2001         1         0         1         1
  2      2002         1         0         1         1
  2      2004         1         1         0         1
  2      2005         2         0         0         0
  2      2006         2         0         0         0
  2      2007         2         0         0         0
  3      2008         2         0         1         1
  3      2009         2         0         1         1
  3      2010         3         0         0         0
  3      2012         3         0         0         0
  3      2013         3         0         0         0
  4      2014         3         0         1         1
  4      2011         3         0         1         1
  4      2019         4         0         0         0
  4      2015         4         0         0         0
  5      2016         4         0         1         1
  5      2017         4         0         1         1
  5      2018         4         0         1         1
  5      2020         5         0         0         0
  6      2023         5         0         1         1
  6      2024         5         0         1         1
  6      2021         5         0         1         1
  6        14         3         0         3         3
  6        12         3         0         3         3
  7      2022         5         0         2         2
  7      2025         6         0         1         1
  7      2026         6         0         1         1
  7      2027         6         0         1         1
  7      2028         6         0         1         1
  7      2029         6         0         1         1
  7      2034         7         0         0         0
  7      2031         7         0         0         0
  7         3         1         0         6         6
  8      2030         7         0         1         1
  9      2032         7         0         2         2
  9      2033         7         1         1         2
  9      2038         9         0         0         0
 10      2037         9         0         1         1
 11      2036         9         1         1         2
 11      2035         9         0         2         2
 11      2048        11         0         0         0
 12      2040        10         0         2         2
 12      2049        11         0         1         1
 12      2042        10         0         2         2
 12      2047        11         0         1         1
 12      2044        10         0         2         2
 12      2053        12         0         0         0
 12      2052        12         0         0         0
 13      2039         9         1         3         4
 13      2041        10         1         2         3
 13      2043        10         1         2         3
 13      2046        11         0         2         2
 13      2059        13         0         0         0
 14      2045        11         1         2         3
 14      2050        12         0         2         2
 14      2051        12         0         2         2
 14      2054        12         0         2         2
 14      2056        13         0         1         1
 14      2057        13         0         1         1
 14      2062        14         0         0         0
 14      2064        14         0         0         0
 14        29         6         0         8         8
 14        24         5         1         8         9
 14        21         5         0         9         9
 15      2055        13         1         1         2
 16      2058        13         1         2         3
 16      2060        14         0         2         2
 16      2061        14         0         2         2
 16      2067        15         0         1         1
 16      2068        15         0         1         1
 16      2063        14         1         1         2
 17      2065        15         0         2         2
 17      2069        15         0         2         2
 17      2066        15         0         2         2
 17        26         6         0        11        11
 18      2073        16         0         2         2
 18      2074        16         0         2         2
 18      2070        16         0         2         2
 18      2071        16         0         2         2
 18      2072        16         0         2         2
 18      2075        18         0         0         0
 18      2076        18         0         0         0
 18      2077        18         0         0         0
 19      2078        18         0         1         1
 19      2079        18         0         1         1
 19      2081        19         0         0         0
 20      2084        19         0         1         1
 20      2080        19         0         1         1
 20      2083        19         0         1         1
 20      2085        20         0         0         0
 20      2082        19         0         1         1
 21      2087        20         0         1         1
 21      2088        20         0         1         1
 21      2086        20         0         1         1
 21      2094        21         0         0         0
 21        48        11         0        10        10
 22      2089        20         0         2         2
 22      2091        21         1         0         1
 22      2093        21         1         0         1
 22      2096        22         0         0         0
 23      2099        22         0         1         1
 23      2092        21         0         2         2
 23      2090        21         0         2         2
 23      2097        22         0         1         1
 24      2098        22         0         2         2
 24      2095        22         0         2         2
 26      2101        26         0         0         0
 27      2100        26         0         1         1
 27      2104        26         0         1         1
 27      2107        27         0         0         0
 27      2102        26         0         1         1
 27      2103        26         0         1         1
 27      2105        27         0         0         0
 28      2113        28         0         0         0
 28      2106        27         0         1         1
 28      2108        27         0         1         1
 28      2109        27         0         1         1
 29      2110        28         0         1         1
 29      2112        28         0         1         1
 29      2117        29         0         0         0
 29      2111        28         0         1         1
 29      2114        28         0         1         1
 29        92        21         1         7         8
 30      2116        29         0         1         1
 30      2118        29         0         1         1
 30      2124        30         0         0         0
 30       100        22         0         8         8
 31      2120        30         0         1         1
 31      2121        30         0         1         1
 31      2126        31         0         0         0
 31        99        22         0         9         9
 32      2115        29         0         3         3
 32      2128        31         0         1         1
 32      2129        31         0         1         1
 32      2122        30         0         2         2
 32        95        21         0        11        11
 33      2119        29         0         4         4
 33      2123        30         1         2         3
 33      2127        31         1         1         2
 33      2125        31         0         2         2
 34      2131        33         0         1         1
 34      2132        33         0         1         1
 34      2133        33         0         1         1
 34      2134        33         0         1         1
 34       109        27         1         6         7
 34       123        30         0         4         4
 34        93        21         0        13        13
 35      2130        33         0         2         2
 35      2135        34         0         1         1
 35      2143        35         0         0         0
 35      2144        35         0         0         0
 36      2137        34         1         1         2
 36      2136        34         0         2         2
 36      2140        35         0         1         1
 36      2138        34         0         2         2
 36      2139        34         0         2         2
 36       114        28         1         7         8
 36       111        28         0         8         8
 37       126        31         0         6         6
 38      2141        35         1         2         3
 38      2145        36         0         2         2
 38       120        29         1         8         9
 39      2142        35         1         3         4
 39      2146        36         0         3         3
 39      2151        38         0         1         1
 39      2154        38         0         1         1
 39       135        33         0         6         6
 40      2156        39         0         1         1
 40      2160        40         0         0         0
 40      2162        40         0         0         0
 40      2148        36         0         4         4
 40      2149        36         0         4         4
 40       137        34         1         5         6
 41      2150        38         1         2         3
 41      2152        38         1         2         3
 41      2153        38         1         2         3
 41      2147        36         0         5         5
 41      2159        39         0         2         2
 41      2161        40         0         1         1
 41      2163        40         0         1         1
 41      2155        39         1         1         2
 41       150        36         0         5         5
 42      2158        39         1         2         3
 42      2169        41         0         1         1
 42      2168        41         0         1         1
 42      2165        41         0         1         1
 42      2166        41         0         1         1
 42      2174        42         0         0         0
 42       141        35         0         7         7
 42       159        39         0         3         3
 43      2173        42         0         1         1
 43      2171        42         0         1         1
 43      2167        41         0         2         2
 43      2164        40         0         3         3
 44      2157        39         1         4         5
 44      2170        42         1         1         2
 44      2172        42         1         1         2
 44      2179        44         0         0         0
 44      2176        44         0         0         0
 45      2178        44         0         1         1
 45      2181        45         0         0         0
 45       163        40         1         4         5
 46      2175        44         1         1         2
 46      2177        44         1         1         2
 46      2184        45         0         1         1
 46      2180        45         0         1         1
 46      2183        45         0         1         1
 46         2         1         0        45        45
 47      2189        46         0         1         1
 47      2186        46         0         1         1
 48      2185        46         1         1         2
 48      2187        46         1         1         2
 48      2188        46         1         1         2
 48      2182        45         1         2         3
 48      2190        47         0         1         1
 48       173        42         0         6         6
 49      2191        47         0         2         2
 49      2192        47         1         1         2
 49      2193        47         1         1         2
 49      2194        47         1         1         2
 49      2195        48         0         1         1
 49      2199        48         0         1         1
 49      2202        49         0         0         0
 49      2203        49         0         0         0
 49      2200        49         0         0         0
 50      2196        48         1         1         2
 50      2197        48         1         1         2
 50      2204        49         0         1         1
 50      2208        50         0         0         0
 50       174        42         0         8         8
 51      2201        49         0         2         2
 51      2205        50         0         1         1
 51      2206        50         0         1         1
 51      2212        51         0         0         0
 52      2198        48         1         3         4
 52      2214        51         0         1         1
 52      2210        51         0         1         1
 52      2211        51         0         1         1
 52         4         1         0        51        51
 52         5         1         0        51        51
 53       186        46         1         6         7
 54      2207        50         1         3         4
 54      2209        50         1         3         4
 54      2215        52         0         2         2
 54      2216        52         0         2         2
 54       184        45         1         8         9
 55      2220        54         0         1         1
 56      2213        51         1         4         5
 56      2217        52         1         3         4
 56      2218        52         1         3         4
 56      2219        52         1         3         4
 57      2225        56         0         1         1
 57      2228        56         0         1         1
 57       192        47         1         9        10
 58      2221        54         1         3         4
 58      2222        54         1         3         4
 58      2223        54         1         3         4
 58      2227        56         0         2         2
 58       197        48         0        10        10
 59      2224        54         1         4         5
 59      2231        59         0         0         0
 60      2226        56         1         3         4
 60      2229        56         2         2         4
 60      2230        59         0         1         1
 60      2232        59         0         1         1
 60      2234        59         0         1         1
 60      2239        60         0         0         0
 61      2236        60         0         1         1
 61      2242        61         0         0         0
 61       218        52         1         8         9
 62      2233        59         1         2         3
 62      2235        60         0         2         2
 62      2237        60         0         2         2
 62      2244        61         0         1         1
 62       235        59         0         3         3
 63      2240        61         0         2         2
 63      2245        62         0         1         1
 63      2249        62         0         1         1
 63      2248        62         0         1         1
 63      2243        61         1         1         2
 63      2238        60         1         2         3
 63      2241        61         0         2         2
 64      2246        62         0         2         2
 65      2247        62         0         3         3

Battle result: Win

Earth army statistics
Total earth soldiers: 24
Total earth tanks: 52
Total earth gunnery: 174
Percentage of destructed earth soldiers relative to total soldiers: 91.6667%
Percentage of destructed earth tanks relative to total tanks: 21.1538%
Percentage of destructed earth gunnery relative to total gunnery: 1.72414%
Percentage of total destructed units relative to total units: 14.4%
Average Delay before first being shot: 0.305556
Average time to destruction after first shot: 10.5556
Average battle time: 10.8611
Df/Db percentage: 2.8133 %
Dd/Db percentage: 97.1867%

Alien army statistics
Total alien soldiers: 135
Total alien drones: 66
Total alien monsters: 49
Percentage of destructed alien soldiers relative to total soldiers: 100%
Percentage of destructed alien drones relative to total drones: 100%
Percentage of destructed alien monsters relative to total monsters: 100%
Percentage of total destructed units relative to total units: 100%
Average Delay before first being shot: 0.212
Average time to destruction after first shot: 1.24
Average battle time: 1.452
Df/Db percentage: 14.6006%
Dd/Db percentage: 85.3995%
