 Td        ID        Tj        Df        Dd        Db
  2      2001         1         0         1         1
  2      2000         1         0         1         1
  2      2002         1         0         1         1
  2      2003         1         0         1         1
  2      2004         1         0         1         1
  2         3         1         0         1         1
  2         4         1         0         1         1
  3         2         1         0         2         2
  3         5         1         0         2         2
  3         6         2         0         1         1
  3         7         2         0         1         1
  3         8         2         0         1         1
  4         1         1         0         3         3
  4         9         2         0         2         2
  4        10         2         0         2         2
  6      2008         2         0         4         4
  7      2013         6         0         1         1
  7      2014         6         0         1         1
  7      2009         2         0         5         5
  7      2012         6         0         1         1
  7        15         6         0         1         1
  7        11         6         0         1         1
  8      2019         7         0         1         1
  8      2023         8         0         0         0
  9      2011         6         0         3         3
  9      2021         8         0         1         1
  9      2022         8         0         1         1
  9      2005         2         1         6         7
  9      2027         9         0         0         0
  9        20         7         0         2         2
  9        17         7         0         2         2
  9        14         6         0         3         3
 10      2018         7         1         2         3
 10      2025         9         0         1         1
 10      2006         2         1         7         8
 10      2029         9         0         1         1
 10      2007         2         0         8         8
 10      2010         6         0         4         4
 10        23         8         0         2         2
 10        12         6         0         4         4
 10        13         6         0         4         4
 10        16         7         0         3         3
 11      2028         9         1         1         2
 11      2015         7         3         1         4
 11      2026         9         1         1         2
 11        21         8         0         3         3
 11        18         7         0         4         4
 11        19         7         0         4         4
 11        22         8         0         3         3
 12      2031        11         0         1         1
 12      2032        11         0         1         1
 12      2030        11         0         1         1
 12        26         9         0         3         3
 12        30         9         1         2         3
 13      2016         7         4         2         6
 13      2017         7         0         6         6
 13      2020         8         0         5         5
 13      2041        13         0         0         0
 13        27         9         0         4         4
 13        24         8         1         4         5
 14      2034        11         0         3         3
 14      2044        13         0         1         1
 14      2040        13         0         1         1
 14      2037        12         0         2         2
 14        38        12         0         2         2
 15      2043        13         0         2         2
 15      2024         8         0         7         7
 15        32        11         0         4         4
 15        29         9         1         5         6
 15        35        11         0         4         4
 16      2047        15         0         1         1
 16        44        13         0         3         3
 16        25         8         1         7         8
 16        28         9         1         6         7
 16        31        11         0         5         5
 16        33        11         0         5         5
 16        34        11         0         5         5
 16        36        12         0         4         4
 16        37        12         0         4         4
 17      2045        15         0         2         2
 17      2049        15         0         2         2
 17      2048        15         0         2         2
 17      2033        11         0         6         6
 17      2052        16         0         1         1
 17      2058        17         0         0         0
 17      2053        16         0         1         1
 17        52        16         0         1         1
 18      2038        12         1         5         6
 18      2056        17         0         1         1
 18      2059        17         0         1         1
 18        58        17         0         1         1
 19      2046        15         1         3         4
 19        39        12         1         6         7
 19        40        12         1         6         7
 19        46        15         1         3         4
 19        47        15         1         3         4
 19        48        15         1         3         4
 19        49        15         1         3         4
 19        53        16         0         3         3
 20      2061        19         0         1         1
 20      2063        19         0         1         1
 20        65        19         0         1         1
 20        62        19         0         1         1
 20        57        17         0         3         3
 21      2069        20         0         1         1
 21      2055        17         1         3         4
 21      2035        12         6         3         9
 21      2036        12         6         3         9
 21        51        16         1         4         5
 21        55        16         1         4         5
 22      2067        20         1         1         2
 22      2065        20         1         1         2
 22      2068        20         0         2         2
 22      2039        12         0        10        10
 22      2042        13         0         9         9
 22        41        13         1         8         9
 22        42        13         1         8         9
 22        43        13         1         8         9
 22        45        13         1         8         9
 22        54        16         1         5         6
 23      2064        19         0         4         4
 23      2062        19         0         4         4
 23      2051        16         0         7         7
 23      2054        16         0         7         7
 23        50        15         1         7         8
 24      2050        16         7         1         8
 24        60        17         1         6         7
 24        66        20         1         3         4
 24        67        20         1         3         4
 24        68        20         1         3         4
 24        69        20         1         3         4
 25      2057        17         1         7         8
 25      2060        19         0         6         6
 25      2076        25         0         0         0
 25      2075        25         0         0         0
 25      2072        24         0         1         1
 25        61        19         2         4         6
 25        63        19         2         4         6
 25        64        19         2         4         6
 25        71        24         0         1         1
 26      2074        24         0         2         2
 26      2070        24         0         2         2
 26      2078        25         0         1         1
 26        79        25         0         1         1
 26        77        25         0         1         1
 27      2066        20         4         3         7
 27      2077        25         0         2         2
 27      2071        24         0         3         3
 27      2081        26         0         1         1
 27        85        26         0         1         1
 27        81        26         0         1         1
 27        56        17         1         9        10
 27        59        17         1         9        10
 27        84        26         0         1         1
 27        82        26         0         1         1
 28      2082        26         0         2         2
 28      2086        27         0         1         1
 28      2089        27         0         1         1
 28      2073        24         0         4         4
 28        83        26         0         2         2
 29      2087        27         0         2         2
 29      2085        27         0         2         2
 29      2079        25         0         4         4
 29      2084        26         0         3         3
 29        70        20         1         8         9
 29        72        24         0         5         5
 30      2088        27         1         2         3
 30        90        27         0         3         3
 30        75        24         1         5         6
 31      2080        26         3         2         5
 31      2083        26         3         2         5
 31        73        24         0         7         7
 31        80        25         1         5         6
 31        74        24         1         6         7
 32      2091        30         0         2         2
 32      2090        30         0         2         2
 32      2092        30         0         2         2
 32      2093        30         0         2         2
 35        76        25         1         9        10
 35        78        25         1         9        10
 35        88        27         1         7         8
 36      2099        35         0         1         1
 36        86        27         0         9         9
 36        87        27         1         8         9
 36        89        27         1         8         9
 36        91        30         0         6         6
 37      2096        35         0         2         2
 37      2095        35         0         2         2
 37      2098        35         0         2         2
 37      2097        35         0         2         2
 39        92        30         0         9         9
 39        93        30         0         9         9
 40      2100        39         0         1         1
 40       105        39         0         1         1
 40        95        30         1         9        10
 40        97        35         0         5         5
 41      2094        30         9         2        11
 41      2105        40         0         1         1
 41      2106        40         0         1         1
 41      2101        39         0         2         2
 41      2103        39         0         2         2
 41      2104        39         0         2         2
 41       110        40         0         1         1
 41       106        40         0         1         1
 41        94        30         1        10        11
 41        96        35         0         6         6
 42      2114        41         0         1         1
 42       107        40         0         2         2
 42        98        35         1         6         7
 43      2113        41         0         2         2
 43        99        35         1         7         8
 43       100        35         1         7         8
 43       101        39         0         4         4
 43       102        39         0         4         4
 43       103        39         0         4         4
 43       104        39         0         4         4
 43       119        43         0         0         0
 44      2108        40         0         4         4
 44      2109        40         0         4         4
 44       109        40         1         3         4
 44       116        43         0         1         1
 45      2102        39         1         5         6
 45      2107        40         2         3         5
 45      2110        41         1         3         4
 45       120        43         0         2         2
 45       113        41         1         3         4
 45       114        41         1         3         4
 45       115        41         1         3         4
 45       108        40         1         4         5
 45       111        41         1         3         4
 45       112        41         1         3         4
 46      2119        43         0         3         3
 46      2118        43         0         3         3
 46       118        43         1         2         3
 46       117        43         1         2         3
 47       122        45         0         2         2
 47       123        45         0         2         2
 47       124        45         0         2         2
 47       121        45         0         2         2
 47       125        45         0         2         2
 48      2123        45         0         3         3
 48       126        46         0         2         2
 48       127        46         0         2         2
 48       129        46         0         2         2
 48       130        46         0         2         2
 49       128        46         0         3         3
 50      2128        46         0         4         4
 50      2124        45         0         5         5
 50       135        49         0         1         1
 50       131        49         0         1         1
 50       132        49         0         1         1
 50       133        49         0         1         1
 50       134        49         0         1         1

Battle result: Loss

Earth army statistics
Total earth soldiers: 21
Total earth tanks: 14
Total earth gunnery: 100
Percentage of destructed earth soldiers relative to total soldiers: 100%
Percentage of destructed earth tanks relative to total tanks: 100%
Percentage of destructed earth gunnery relative to total gunnery: 100%
Percentage of total destructed units relative to total units: 100%
Average Delay before first being shot: 0.407407
Average time to destruction after first shot: 3.71111
Average battle time: 4.11852
Df/Db percentage: 9.89209 %
Dd/Db percentage: 90.1079%

Alien army statistics
Total alien soldiers: 14
Total alien drones: 69
Total alien monsters: 52
Percentage of destructed alien soldiers relative to total soldiers: 71.4286%
Percentage of destructed alien drones relative to total drones: 88.4058%
Percentage of destructed alien monsters relative to total monsters: 90.3846%
Percentage of total destructed units relative to total units: 87.4074%
Average Delay before first being shot: 0.516949
Average time to destruction after first shot: 2.4661
Average battle time: 2.98305
Df/Db percentage: 17.3295%
Dd/Db percentage: 82.6705%
