 Td        ID        Tj        Df        Dd        Db
  1      2004         1         0         0         0
  1      2001         1         0         0         0
  1      2002         1         0         0         0
  2      2006         1         0         1         1
  2      2000         1         0         1         1
  2      2008         1         0         1         1
  2      2003         1         0         1         1
  2      2005         1         0         1         1
  3      2007         1         0         2         2
  4      2010         3         0         1         1
  4      2009         3         0         1         1
  4      2011         3         0         1         1
  4      2012         3         0         1         1
  4      2013         3         0         1         1
  4         4         1         0         3         3
  5      2014         3         1         1         2
  5      2015         3         1         1         2
  5      2018         4         0         1         1
  5      2024         4         0         1         1
  5      2026         4         0         1         1
  5      2023         4         0         1         1
  5      2016         3         0         2         2
  5      2022         4         0         1         1
  5      2021         4         1         0         1
  5        26         4         0         1         1
  5        20         4         0         1         1
  5        16         3         0         2         2
  6      2025         4         1         1         2
  6      2019         4         0         2         2
  6      2027         5         0         1         1
  6      2028         5         0         1         1
  6      2029         5         0         1         1
  6      2030         5         0         1         1
  6      2032         5         0         1         1
  6      2017         3         0         3         3
  6      2034         5         0         1         1
  6      2035         5         0         1         1
  7      2031         5         0         2         2
  7      2033         5         0         2         2
  7      2037         7         0         0         0
  7      2038         7         0         0         0
  7      2040         7         0         0         0
  7      2041         7         0         0         0
  7      2042         7         0         0         0
  7        34         5         0         2         2
  8      2043         7         0         1         1
  8      2044         7         0         1         1
  8      2020         4         2         2         4
  8      2052         8         0         0         0
  8      2045         8         0         0         0
  9      2046         8         0         1         1
  9      2047         8         0         1         1
  9      2048         8         0         1         1
  9      2049         8         0         1         1
  9      2050         8         0         1         1
  9      2051         8         0         1         1
  9      2036         7         0         2         2
  9      2039         7         0         2         2
 10      2053         8         0         2         2
 11      2054        10         0         1         1
 11      2055        10         0         1         1
 11      2056        10         0         1         1
 11      2058        10         0         1         1
 11      2060        10         0         1         1
 11      2061        10         0         1         1
 11      2059        10         0         1         1
 11      2069        11         0         0         0
 11      2070        11         0         0         0
 11        19         4         1         6         7
 11        56        10         0         1         1
 11        55        10         0         1         1
 12      2068        11         0         1         1
 12      2057        10         0         2         2
 12      2062        10         0         2         2
 12      2080        12         0         0         0
 12      2076        12         0         0         0
 12        32         5         1         6         7
 12        45         7         1         4         5
 12         7         1         0        11        11
 13      2075        12         0         1         1
 13      2074        12         0         1         1
 13      2087        13         0         0         0
 14      2077        12         0         2         2
 14      2072        12         1         1         2
 14      2065        11         0         3         3
 14      2066        11         0         3         3
 14        60        10         1         3         4
 15      2063        11         1         3         4
 15      2064        11         1         3         4
 15      2067        11         1         3         4
 15      2071        11         1         3         4
 15      2073        12         0         3         3
 15      2078        12         0         3         3
 15      2097        15         0         0         0
 15        64        11         1         3         4
 16      2081        13         1         2         3
 16      2082        13         1         2         3
 16      2083        13         1         2         3
 16      2085        13         1         2         3
 16      2086        13         1         2         3
 16      2088        13         1         2         3
 16      2092        15         0         1         1
 16        22         4         1        11        12
 17      2089        13         1         3         4
 17      2105        16         0         1         1
 17      2110        17         0         0         0
 18      2079        12         1         5         6
 18      2100        16         0         2         2
 18      2108        17         0         1         1
 18        88        13         1         4         5
 19      2084        13         1         5         6
 19      2119        19         0         0         0
 19        99        15         1         3         4
 19        80        12         1         6         7
 19        82        13         1         5         6
 19       102        16         0         3         3
 19       105        16         0         3         3
 19        18         3         1        15        16
 19         1         1         0        18        18
 20      2093        15         2         3         5
 20      2095        15         2         3         5
 20      2118        19         0         1         1
 20      2120        19         0         1         1
 20      2124        19         0         1         1
 20      2098        15         2         3         5
 20      2099        16         2         2         4
 20      2101        16         2         2         4
 20      2102        16         2         2         4
 20      2103        16         2         2         4
 20        95        15         1         4         5
 20       124        19         0         1         1
 21      2104        16         2         3         5
 21      2128        20         0         1         1
 21       115        17         1         3         4
 21         5         1         0        20        20
 21       121        19         0         2         2
 22      2135        21         0         1         1
 22      2139        21         0         1         1
 22      2145        22         0         0         0
 22      2115        17         3         2         5
 22       107        16         1         5         6
 23      2090        15         2         6         8
 23      2091        15         2         6         8
 23      2094        15         2         6         8
 23      2096        15         2         6         8
 23      2142        21         0         2         2
 24      2117        19         2         3         5
 24      2121        19         2         3         5
 24      2122        19         2         3         5
 24      2123        19         2         3         5
 24      2125        19         2         3         5
 24      2106        16         3         5         8
 24      2140        21         0         3         3
 24      2150        22         0         2         2
 24      2107        16         3         5         8
 24      2109        17         2         5         7
 24      2111        17         2         5         7
 24       130        20         1         3         4
 25      2160        25         0         0         0
 25      2113        17         2         6         8
 25      2114        17         2         6         8
 25       131        20         1         4         5
 25       136        21         1         3         4
 25       137        21         1         3         4
 26      2132        20         2         4         6
 26      2133        20         2         4         6
 26      2134        20         2         4         6
 26      2153        25         0         1         1
 26      2154        25         0         1         1
 26      2156        25         0         1         1
 26      2163        26         0         0         0
 26      2116        17         3         6         9
 26      2136        21         2         3         5
 26      2137        21         2         3         5
 26      2138        21         2         3         5
 26      2141        21         2         3         5
 26      2143        21         2         3         5
 27      2144        22         2         3         5
 27      2146        22         2         3         5
 27      2165        26         0         1         1
 27      2147        22         3         2         5
 27      2149        22         3         2         5
 27      2152        22         3         2         5
 27      2112        17         2         8        10
 27      2126        20         2         5         7
 28      2127        20         2         6         8
 28      2129        20         2         6         8
 28      2130        20         2         6         8
 28      2131        20         2         6         8
 28       151        22         1         5         6
 28        17         3         0        25        25
 28       179        28         0         0         0
 29      2155        25         2         2         4
 29      2157        25         2         2         4
 29      2159        25         2         2         4
 29      2161        25         2         2         4
 29      2148        22         3         4         7
 29      2151        22         3         4         7
 29      2175        28         0         1         1
 29      2180        29         0         0         0
 30      2162        26         2         2         4
 30      2164        26         2         2         4
 30      2166        26         2         2         4
 30      2167        26         2         2         4
 30      2168        26         2         2         4
 30      2169        26         2         2         4
 30      2176        28         0         2         2
 30      2183        29         0         1         1
 30      2170        26         2         2         4
 30       160        25         0         5         5
 31      2158        25         2         4         6
 31      2195        30         0         1         1
 31      2193        30         0         1         1
 31      2172        28         1         2         3
 31      2173        28         1         2         3
 31      2174        28         1         2         3
 31      2177        28         1         2         3
 31      2178        28         1         2         3
 32      2181        29         1         2         3
 32      2182        29         1         2         3
 32      2184        29         1         2         3
 33      2179        28         1         4         5
 33       171        26         1         6         7
 34      2188        29         2         3         5
 34      2171        28         1         5         6
 34      2189        30         2         2         4
 34      2190        30         2         2         4
 34      2191        30         2         2         4
 34       161        25         1         8         9
 35      2205        35         0         0         0
 35      2192        30         2         3         5
 35      2194        30         2         3         5
 35      2196        30         2         3         5
 35      2197        30         2         3         5
 36      2200        35         0         1         1
 36      2201        35         0         1         1
 36      2212        36         0         0         0
 36      2185        29         1         6         7
 36      2186        29         2         5         7
 36      2187        29         2         5         7
 37      2213        36         0         1         1
 37      2210        36         0         1         1
 37      2198        35         1         1         2
 37      2199        35         1         1         2
 37      2202        35         1         1         2
 37      2204        35         1         1         2
 37        42         7         4        26        30
 38      2216        37         0         1         1
 38      2203        35         0         3         3
 38      2222        37         0         1         1
 38      2230        38         0         0         0
 38      2227        38         0         0         0
 38      2206        35         2         1         3
 38       224        37         0         1         1
 39      2207        36         1         2         3
 39      2208        36         1         2         3
 39      2209        36         1         2         3
 39      2211        36         1         2         3
 39      2214        36         1         2         3
 39      2215        36         1         2         3
 39      2225        38         0         1         1
 40      2226        38         1         1         2
 40      2228        38         1         1         2
 40      2229        38         1         1         2
 40      2232        38         1         1         2
 40      2233        38         1         1         2
 40      2217        37         1         2         3
 40       222        37         0         3         3
 40        29         5         2        33        35
 41      2236        40         0         1         1
 41      2249        41         0         0         0
 41      2220        37         1         3         4
 41      2221        37         1         3         4
 41      2224        37         1         3         4
 41      2231        38         1         2         3
 41       229        38         1         2         3
 41       231        38         1         2         3
 42      2251        41         0         1         1
 42      2247        41         0         1         1
 42      2244        41         0         1         1
 42      2237        40         1         1         2
 42      2240        40         1         1         2
 42      2241        40         1         1         2
 42      2218        37         1         4         5
 42      2219        37         1         4         5
 43      2223        37         1         5         6
 43      2245        41         1         1         2
 43      2246        41         1         1         2
 43      2248        41         1         1         2
 43      2250        41         1         1         2
 43      2234        40         1         2         3
 43      2235        40         1         2         3
 43      2238        40         1         2         3
 43      2239        40         1         2         3
 43      2242        40         1         2         3
 43       250        41         0         2         2
 43       246        41         0         2         2
 44      2243        41         1         2         3
 44      2252        43         0         1         1
 44      2254        43         0         1         1
 44      2255        43         0         1         1
 44      2259        43         0         1         1
 44      2260        43         0         1         1
 44      2256        43         1         0         1
 44      2257        43         1         0         1
 44      2261        44         0         0         0
 45      2268        44         0         1         1
 45      2263        44         0         1         1
 45      2253        43         0         2         2
 45      2258        43         0         2         2
 45      2267        44         0         1         1
 45      2269        44         0         1         1
 45      2264        44         0         1         1
 45      2265        44         0         1         1
 45      2266        44         0         1         1
 46      2262        44         0         2         2
 46      2273        46         0         0         0
 46       226        38         0         8         8
 46       269        44         0         2         2
 47      2270        46         0         1         1
 47      2271        46         0         1         1
 47      2272        46         0         1         1
 47      2274        46         0         1         1
 47      2275        46         0         1         1
 47      2277        46         0         1         1
 47        15         3         0        44        44
 47       274        46         0         1         1
 47       261        43         1         3         4
 47       249        41         2         4         6
 48      2278        46         0         2         2
 48      2279        47         0         1         1
 48      2281        47         0         1         1
 48      2276        46         0         2         2
 48      2280        47         0         1         1
 48      2283        47         0         1         1
 48      2284        47         0         1         1
 48       285        47         0         1         1
 49      2288        48         0         1         1
 49      2295        48         0         1         1
 49      2285        47         1         1         2
 49      2286        47         1         1         2
 49      2287        47         1         1         2
 49      2282        47         0         2         2
 49      2289        48         0         1         1
 49       296        48         0         1         1
 50      2290        48         0         2         2
 50      2304        49         0         1         1
 50      2297        49         0         1         1
 50      2309        50         0         0         0
 50      2292        48         1         1         2
 50      2293        48         1         1         2
 50      2294        48         1         1         2
 50       297        48         0         2         2
 50       306        49         0         1         1
 50       304        49         0         1         1
 50        24         4         2        44        46
 51      2298        49         1         1         2
 51      2308        50         0         1         1
 51      2315        51         0         0         0
 51      2299        49         1         1         2
 51      2300        49         1         1         2
 51      2301        49         1         1         2
 51      2302        49         1         1         2
 51       298        49         0         2         2
 52      2303        49         1         2         3
 52      2291        48         1         3         4
 52      2296        48         1         3         4
 52      2306        50         0         2         2
 52      2316        51         0         1         1
 52      2307        50         1         1         2
 53      2310        50         1         2         3
 53      2311        50         1         2         3
 53      2312        50         1         2         3
 53      2313        50         1         2         3
 53      2314        50         1         2         3
 53      2326        52         0         1         1
 53      2322        51         0         2         2
 53      2325        52         0         1         1
 53      2336        53         0         0         0
 53      2305        49         1         3         4
 53      2317        51         1         1         2
 54      2319        51         1         2         3
 54      2337        53         0         1         1
 54       302        49         0         5         5
 54       309        50         1         3         4
 54        70        11         6        37        43
 55      2324        52         1         2         3
 55      2327        52         1         2         3
 55      2328        52         1         2         3
 55      2329        52         1         2         3
 55      2330        52         1         2         3
 55      2331        52         1         2         3
 55      2332        52         1         2         3
 55      2350        54         0         1         1
 56      2318        51         1         4         5
 56      2320        51         1         4         5
 56      2321        51         1         4         5
 56      2323        51         1         4         5
 56      2335        53         1         2         3
 56      2343        54         0         2         2
 56      2347        54         0         2         2
 56      2349        54         0         2         2
 56      2353        56         0         0         0
 56      2352        56         0         0         0
 56      2338        53         1         2         3
 56      2339        53         1         2         3
 56      2340        53         1         2         3
 56      2341        53         1         2         3
 56       350        54         0         2         2
 56       351        54         0         2         2
 57      2356        56         0         1         1
 57      2355        56         0         1         1
 57      2333        53         1         3         4
 57      2334        53         1         3         4
 57      2342        54         1         2         3
 57       346        54         1         2         3
 57        40         7         4        46        50
 57       367        57         0         0         0
 57       362        57         0         0         0
 57       360        56         0         1         1
 57       348        54         0         3         3
 58      2366        57         0         1         1
 58      2346        54         1         3         4
 58      2348        54         1         3         4
 58      2358        56         1         1         2
 58      2359        56         1         1         2
 59      2361        57         0         2         2
 59      2362        57         1         1         2
 59      2363        57         1         1         2
 59      2364        57         1         1         2
 59      2365        57         1         1         2
 60      2367        57         1         2         3
 60      2344        54         1         5         6
