 Td        ID        Tj        Df        Dd        Db
  3         4         2         0         1         1
  3         3         2         0         1         1
  3         1         2         0         1         1
  4         2         2         0         2         2
  4         5         2         1         1         2
  5         9         4         0         1         1
  5        10         4         0         1         1
  5         6         4         0         1         1
  5         8         4         0         1         1
  5         7         4         0         1         1
  5        15         5         0         0         0
  6      2007         4         0         2         2
  6        12         5         0         1         1
  6        11         5         0         1         1
  7      2012         5         0         2         2
  7        18         6         0         1         1
  7        20         6         0         1         1
  8      2001         2         0         6         6
  8        13         5         0         3         3
  8        14         5         0         3         3
  8        16         6         0         2         2
  8        17         6         0         2         2
  8        19         6         0         2         2
  8        21         7         0         1         1
  8        24         7         0         1         1
  9      2000         2         0         7         7
  9        25         7         1         1         2
  9        22         7         0         2         2
  9        23         7         0         2         2
  9        27         8         0         1         1
  9        28         8         0         1         1
 10        26         8         0         2         2
 10        29         8         0         2         2
 10        30         8         1         1         2
 11      2004         2         1         8         9
 12      2002         2         2         8        10
 12      2003         2         2         8        10
 12      2029         8         0         4         4
 12        32        11         0         1         1
 13      2010         5         0         8         8
 13        33        11         0         2         2
 13        34        11         0         2         2
 13        35        11         0         2         2
 13        31        11         0         2         2
 13        39        12         0         1         1
 13        40        12         0         1         1
 13        36        12         0         1         1
 14      2014         5         1         8         9
 14      2006         4         1         9        10
 14      2008         4         1         9        10
 15      2009         4         1        10        11
 15        49        14         0         1         1
 15        47        14         0         1         1
 16      2013         5         1        10        11
 16        51        15         0         1         1
 16        38        12         1         3         4
 17        57        16         0         1         1
 18      2054        15         0         3         3
 18      2051        15         0         3         3
 18      2005         4         0        14        14
 18      2015         6         1        11        12
 18      2016         6         1        11        12
 18        45        13         1         4         5
 18        37        12         1         5         6
 18        61        17         0         1         1
 18        65        17         0         1         1
 19      2027         8         2         9        11
 19      2061        17         0         2         2
 19        41        13         1         5         6
 19        69        18         0         1         1
 19        42        13         1         5         6
 19        43        13         1         5         6
 19        44        13         1         5         6
 19        46        14         0         5         5
 20      2020         7         1        12        13
 20      2037        12         0         8         8
 20      2021         7         1        12        13
 20      2022         7         2        11        13
 20        53        15         0         5         5
 20        66        18         0         2         2
 20        80        20         0         0         0
 20        76        20         0         0         0
 21        48        14         1         6         7
 21        83        21         0         0         0
 21        81        21         0         0         0
 22      2026         8         2        12        14
 22      2028         8         2        12        14
 22        52        15         0         7         7
 22        54        15         0         7         7
 22        58        16         1         5         6
 23      2030        11         1        11        12
 23        59        16         1         6         7
 23        55        15         1         7         8
 23        50        14         1         8         9
 23        67        18         1         4         5
 23        68        18         1         4         5
 23        70        18         1         4         5
 23        88        22         0         1         1
 23        87        22         0         1         1
 24        56        16         1         7         8
 24        72        19         1         4         5
 24        73        19         1         4         5
 24        74        19         1         4         5
 25      2073        19         0         6         6
 26        62        17         1         8         9
 26        63        17         1         8         9
 26        64        17         1         8         9
 26        71        19         1         6         7
 26        75        19         1         6         7
 26        82        21         1         4         5
 26        91        23         1         2         3
 26       100        25         0         1         1
 27      2031        11         1        15        16
 27      2033        11         1        15        16
 27        60        16         1        10        11
 27        77        20         1         6         7
 27        78        20         1         6         7
 27       106        27         0         0         0
 28      2075        20         0         8         8
 28      2085        22         0         6         6
 28        84        21         1         6         7
 28        92        23         1         4         5
 28        93        23         1         4         5
 28        96        25         1         2         3
 28       107        27         0         1         1
 28       113        28         0         0         0
 29      2011         5         0        24        24
