 Td        ID        Tj        Df        Dd        Db
  3         1         1         1         1         2
  3        13         3         0         0         0
  3         2         1         1         1         2
  3         3         1         1         1         2
  3         4         1         1         1         2
  3         5         1         1         1         2
  4         6         2         1         1         2
  4         7         2         1         1         2
  4        19         4         0         0         0
  5      2006         2         1         2         3
  5         8         2         1         2         3
  5        20         4         0         1         1
  5        22         5         0         0         0
  5         9         2         1         2         3
  5        10         2         1         2         3
  5        11         3         0         2         2
  6        16         4         1         1         2
  6        17         4         1         1         2
  6        18         4         1         1         2
  6        12         3         1         2         3
  6        14         3         1         2         3
  6        15         3         1         2         3
  6        30         6         0         0         0
  6        28         6         0         0         0
  7      2010         3         0         4         4
  7      2021         5         0         2         2
  7        24         5         1         1         2
  7        25         5         1         1         2
  7        21         5         0         2         2
  7        26         6         0         1         1
  7        23         5         0         2         2
  7        27         6         0         1         1
  7        29         6         0         1         1
  8      2013         3         1         4         5
  8      2011         3         0         5         5
  8        33         7         0         1         1
  8        34         7         0         1         1
  8        31         7         0         1         1
  8        32         7         0         1         1
  9        35         7         0         2         2
 10      2012         3         1         6         7
 10        36         9         0         1         1
 10        37         9         0         1         1
 10        39         9         0         1         1
 10        40         9         0         1         1
 10        38         9         0         1         1
 10        41        10         0         0         0
 11      2017         4         1         6         7
 11        42        10         0         1         1
 11        43        10         0         1         1
 11        44        10         0         1         1
 11        45        10         0         1         1
 12      2000         1         3         8        11
 12        46        11         0         1         1
 12        48        11         0         1         1
 12        49        11         0         1         1
 12        50        11         0         1         1
 12        47        11         0         1         1
 12        52        12         0         0         0
 12        53        12         0         0         0
 12        55        12         0         0         0
 13        51        12         0         1         1
 13        54        12         0         1         1
 13        59        13         0         0         0
 13        56        13         0         0         0
 13        57        13         0         0         0
 13        58        13         0         0         0
 13        60        13         0         0         0
 14      2047        11         0         3         3
 14        62        14         0         0         0
 14        63        14         0         0         0
 15      2025         6         0         9         9
 15      2040        10         1         4         5
 15        64        14         0         1         1
 15        61        14         0         1         1
 15        68        15         0         0         0
 16      2028         6         1         9        10
 16      2038         9         1         6         7
 16        65        14         0         2         2
