 Td        ID        Tj        Df        Dd        Db
  2         1         1         0         1         1
  2         4         1         0         1         1
  3         2         1         0         2         2
  4         3         1         0         3         3
  4         5         1         0         3         3
  6      2007         2         1         3         4
  6      2009         2         1         3         4
  6      2003         1         1         4         5
  7      2002         1         0         6         6
  8      2006         2         1         5         6
  8      2008         2         1         5         6
  8         9         2         1         5         6
  9      2016         4         2         3         5
 10      2000         1         0         9         9
 10         6         2         1         7         8
 10         7         2         1         7         8
 10         8         2         1         7         8
 10        10         2         1         7         8
 11      2015         4         2         5         7
 11      2017         4         2         5         7
 12        13         3         1         8         9
 13      2001         1         0        12        12
 13      2005         2         0        11        11
 13      2010         3         2         8        10
 13      2011         3         2         8        10
 13        14         3         1         9        10
 13        15         3         2         8        10
 13        16         4         2         7         9
 15      2013         3         2        10        12
 15      2014         3         2        10        12
 15        20         4         2         9        11
 15        11         3         1        11        12
 16      2018         4         3         9        12
 16      2019         4         3         9        12
 16      2004         1         1        14        15
 16        12         3         1        12        13
 19        17         4         2        13        15
 19        18         4         2        13        15
 20      2012         3         2        15        17
 20        19         4         2        14        16
 21      2020        10         2         9        11
 22        21        10         2        10        12
 22        22        10         2        10        12
 22        23        10         2        10        12
 22        24        10         2        10        12
 23      2036        13         4         6        10
 23      2037        13         4         6        10
 23      2039        13         4         6        10
 23      2023        10         3        10        13
 24        25        10         3        11        14
 24        26        11         2        11        13
 26      2025        11         3        12        15
 26      2026        11         3        12        15
 26      2027        11         3        12        15
 27      2028        11         3        13        16
 27        30        11         3        13        16
 27        46        15         5         7        12
 28        31        12         3        13        16
 28        32        12         3        13        16
 28        33        12         3        13        16
 29      2034        12         4        13        17
 29      2021        10         2        17        19
 29        34        12         4        13        17
 29        35        12         4        13        17
 31        36        13         4        14        18
 32      2035        13         4        15        19
 32      2038        13         4        15        19
 32        37        13         4        15        19
 32        38        13         4        15        19
 33      2024        10         3        20        23
 34      2040        14         4        16        20
 34      2041        14         4        16        20
 34      2042        14         4        16        20
 34      2043        14         4        16        20
 34      2044        14         4        16        20
 35      2029        11         3        21        24
 35        27        11         3        21        24
 35        28        11         3        21        24
 35        29        11         3        21        24
 36        47        15         5        16        21
 38      2031        12         3        23        26
 38      2032        12         3        23        26
 38      2033        12         3        23        26
 40      2022        10         2        28        30
 40        55        17         6        17        23
 41        39        13         4        24        28
 42        40        13         4        25        29
 43      2055        18         6        19        25
 43        41        14         4        25        29
 43        42        14         4        25        29
 44        43        14         4        26        30
 44        44        14         4        26        30
 45      2060        19         6        20        26
 45      2061        19         7        19        26
 45        45        14         4        27        31
 45        61        19         6        20        26
 46      2062        19         7        20        27
 47      2063        19         7        21        28
