 Td        ID        Tj        Df        Dd        Db
  2         3         1         0         1         1
  2         1         1         0         1         1
  2         4         1         0         1         1
  3         2         1         0         2         2
  3         6         3         0         0         0
  4      2008         3         0         1         1
  4         7         3         0         1         1
  4         8         3         0         1         1
  4         9         3         0         1         1
  4        10         3         0         1         1
  4         5         1         1         2         3
  5      2009         3         0         2         2
  5      2004         1         0         4         4
  5        12         4         0         1         1
  5        15         4         0         1         1
  5        11         4         0         1         1
  6        14         4         0         2         2
  7      2001         1         0         6         6
  7      2002         1         1         5         6
  7      2000         1         0         6         6
  7        13         4         0         3         3
  7        16         6         0         1         1
  7        17         6         0         1         1
  7        20         6         0         1         1
  8      2013         4         1         3         4
  8        24         7         0         1         1
  8        21         7         0         1         1
  8        23         7         0         1         1
  8        29         8         0         0         0
  8        26         8         0         0         0
  8        18         6         0         2         2
  9      2007         3         1         5         6
  9        35         9         0         0         0
  9        33         9         0         0         0
  9        27         8         0         1         1
  9        34         9         0         0         0
  9        32         9         0         0         0
  9        28         8         0         1         1
 10      2019         6         1         3         4
 10      2017         6         0         4         4
 10        19         6         1         3         4
 10        30         8         0         2         2
 10        25         7         1         2         3
 11      2024         7         0         4         4
 11      2026         8         0         3         3
 11        31         9         0         2         2
 11        22         7         1         3         4
 11        39        10         0         1         1
 12        40        10         0         2         2
 12        43        11         0         1         1
 12        37        10         0         2         2
 12        38        10         0         2         2
 12        42        11         0         1         1
 13      2044        11         0         2         2
 13        44        11         0         2         2
 13        50        12         0         1         1
 13        46        12         0         1         1
 14      2041        11         0         3         3
 14      2049        12         0         2         2
 14      2012         4         1         9        10
 14        41        11         0         3         3
 14        36        10         0         4         4
 15      2025         8         0         7         7
 15      2046        12         0         3         3
 15        45        11         0         4         4
 15        47        12         1         2         3
 15        48        12         1         2         3
 15        49        12         1         2         3
 15        51        13         0         2         2
 15        57        15         0         0         0
 16        58        15         0         1         1
 16        60        15         0         1         1
 16        65        16         0         0         0
 16        59        15         0         1         1
 17        53        13         0         4         4
 17        55        13         1         3         4
 17        56        15         0         2         2
 17        52        13         0         4         4
 17        54        13         0         4         4
 17        61        16         0         1         1
 18      2031         9         0         9         9
 18      2047        12         1         5         6
 18      2038        10         0         8         8
 18      2039        10         1         7         8
 18        64        16         0         2         2
 18        63        16         0         2         2
 18        62        16         0         2         2
 19      2052        13         0         6         6
 19      2037        10         0         9         9
 19      2059        15         0         4         4
 19      2051        13         0         6         6
 19        66        18         0         1         1
 19        67        18         0         1         1
 19        70        18         0         1         1
 19        68        18         0         1         1
 19        69        18         0         1         1
 19        75        19         0         0         0
 19        74        19         0         0         0
 20      2015         6         0        14        14
 20      2060        16         0         4         4
 20      2055        15         1         4         5
 20      2065        18         1         1         2
 20        77        20         0         0         0
 20        80        20         0         0         0
 20        79        20         0         0         0
 20        73        19         0         1         1
 20        71        19         0         1         1
 21      2078        20         0         1         1
 21      2073        19         0         2         2
 21      2069        18         1         2         3
 21        72        19         0         2         2
 21        78        20         0         1         1
 21        81        21         0         0         0
 21        85        21         0         0         0
 21        76        20         0         1         1
 22      2070        19         0         3         3
 22        83        21         0         1         1
 22        82        21         0         1         1
 23      2072        19         0         4         4
 23        84        21         0         2         2
 24      2076        20         0         4         4
 24      2083        21         0         3         3
 24      2082        21         0         3         3
 24        89        23         0         1         1
 24        86        23         0         1         1
 24        87        23         0         1         1
 24        90        23         0         1         1
 24        91        24         0         0         0
 24        95        24         0         0         0
 24        92        24         0         0         0
 25      2088        23         0         2         2
 25        88        23         0         2         2
 25        94        24         0         1         1
 25        97        25         0         0         0
 25        96        25         0         0         0
 25        93        24         0         1         1
 26      2081        21         0         5         5
 26        98        25         0         1         1
 26        99        25         0         1         1
 26       101        26         0         0         0
 26       104        26         0         0         0
 26       103        26         0         0         0
 26       100        25         0         1         1
 27       105        26         0         1         1
 28       102        26         0         2         2
 29      2086        23         0         6         6
 29      2090        24         0         5         5
 29      2098        25         0         4         4
 29      2096        25         0         4         4
 29      2097        25         0         4         4
 29       106        29         0         0         0
 30       107        29         0         1         1
 30       108        29         0         1         1
 30       109        29         0         1         1
 30       110        29         0         1         1
 31      2101        26         0         5         5
 31      2095        25         0         6         6
 31       112        30         0         1         1
 31       111        30         0         1         1
 31       113        30         0         1         1
 31       114        30         0         1         1
 31       115        30         0         1         1
 31       119        31         0         0         0
 31       116        31         0         0         0
 32      2109        29         0         3         3
 32       118        31         0         1         1
 32       120        31         0         1         1
 32       123        32         0         0         0
 32       117        31         0         1         1
 33      2104        26         0         7         7
 33      2106        29         0         4         4
 33      2110        30         0         3         3
 33       125        32         0         1         1
 33       122        32         0         1         1
 33       124        32         0         1         1
 34      2107        29         0         5         5
 34      2123        32         0         2         2
 34      2117        31         1         2         3
 34       121        32         0         2         2
 34       127        33         0         1         1
 34       128        33         0         1         1
 34       129        33         0         1         1
 34       130        33         0         1         1
 34       131        34         0         0         0
 34       126        33         0         1         1
 35      2111        30         1         4         5
 35      2115        31         0         4         4
 35      2003         1         0        34        34
 35       132        34         0         1         1
 35       133        34         0         1         1
 35       134        34         0         1         1
 35       135        34         0         1         1
 35       137        35         0         0         0
 36      2127        33         0         3         3
 36      2128        33         1         2         3
 36       140        35         0         1         1
 36       138        35         0         1         1
 36       136        35         0         1         1
 36       139        35         0         1         1
 37      2126        33         0         4         4
 37      2129        33         1         3         4
 37      2029         8         0        29        29
 38      2125        33         0         5         5
 38      2132        34         0         4         4
 38      2134        34         0         4         4
 38      2133        34         0         4         4
 38      2135        35         0         3         3
 38      2130        34         0         4         4
 38      2136        35         0         3         3
 38       144        37         0         1         1
 38       143        37         0         1         1
 38       142        37         0         1         1
 38       148        38         0         0         0
 38       141        37         0         1         1
 39      2138        35         1         3         4
 39       146        38         0         1         1
 39       150        38         0         1         1
 40      2143        37         0         3         3
 40       147        38         0         2         2
 40       153        39         0         1         1
 40       151        39         0         1         1
 40       152        39         0         1         1
 40       154        39         0         1         1
 40       149        38         0         2         2
 40       145        37         0         3         3
 41      2140        37         0         4         4
 41      2142        37         0         4         4
 41       156        40         0         1         1
 41       157        40         0         1         1
 41       158        40         0         1         1
 41       159        40         0         1         1
 41       155        39         0         2         2
 42      2144        37         1         4         5
 42      2146        38         0         4         4
 42      2148        38         0         4         4
 43      2147        38         0         5         5
 43      2163        42         0         1         1
 43      2155        40         0         3         3
 43       160        40         0         3         3
 43       164        42         0         1         1
 43       163        42         0         1         1
 43       165        42         0         1         1
 43       162        42         0         1         1
 44      2157        40         1         3         4
 44      2150        39         0         5         5
 44      2034         9         0        35        35
 44       168        43         0         1         1
 44       170        43         0         1         1
 44       167        43         0         1         1
 45      2153        39         0         6         6
 45      2169        43         0         2         2
 45      2006         3         0        42        42
 45       175        45         0         0         0
 45       161        42         0         3         3
 46      2162        42         0         4         4
 46       173        45         0         1         1
 46       172        45         0         1         1
 46       174        45         0         1         1
 46       166        43         0         3         3
 46       169        43         0         3         3
 47      2174        45         0         2         2
 47      2036        10         0        37        37
 47       171        45         0         2         2
 47       183        47         0         0         0
 47       180        46         0         1         1
 47       182        47         0         0         0
 47       184        47         0         0         0
 48      2171        45         0         3         3
 48      2178        46         0         2         2
 48       185        47         0         1         1
 48       176        46         0         2         2
 48       190        48         0         0         0
 48       181        47         0         1         1
 49      2184        47         0         2         2
 49      2168        43         0         6         6
 49      2180        47         0         2         2
 49       189        48         0         1         1
 49       179        46         0         3         3
 49       186        48         0         1         1
 49       187        48         0         1         1
 49       195        49         0         0         0
 49       193        49         0         0         0
 49       192        49         0         0         0
 49       188        48         0         1         1
 49       178        46         0         3         3
 49       177        46         0         3         3
 50      2182        47         0         3         3
 50      2185        48         0         2         2
 50      2010         4         4        42        46
 50       191        49         0         1         1
 51      2172        45         1         5         6
 51      2190        49         0         2         2
 51      2192        49         0         2         2
 51      2193        49         0         2         2
 51      2194        49         0         2         2
 51      2187        48         0         3         3
 51       194        49         0         2         2
 51       198        50         0         1         1
 51       199        50         0         1         1
 51       196        50         0         1         1
 51       200        50         0         1         1
 52      2191        49         0         3         3
 52      2189        48         0         4         4
 52      2042        11         0        41        41
 52       197        50         0         2         2
 53       201        52         0         1         1
 53       205        52         0         1         1
 53       203        52         0         1         1
 53       210        53         0         0         0
 53       202        52         0         1         1
 54      2197        50         0         4         4
 54       207        53         0         1         1
 54       212        54         0         0         0
 54       214        54         0         0         0
 54       204        52         1         1         2
 54       206        53         0         1         1
 54       208        53         0         1         1
 54       209        53         0         1         1
 55       215        54         0         1         1
 55       216        55         0         0         0
 55       218        55         0         0         0
 55       219        55         0         0         0
 55       220        55         0         0         0
 55       211        54         0         1         1
 55       213        54         0         1         1
 56       225        56         0         0         0
 56       222        56         0         0         0
 57      2200        52         0         5         5
 57      2205        53         0         4         4
 57      2202        52         1         4         5
 57      2216        55         0         2         2
 57      2207        53         0         4         4
 57       221        56         0         1         1
 57       230        57         0         0         0
 57       226        57         0         0         0
 57       227        57         0         0         0
 57       229        57         0         0         0
 58      2211        54         0         4         4
 58      2215        55         0         3         3
 58      2220        56         0         2         2
 58       217        55         0         3         3
 58       232        58         0         0         0
 58       223        56         0         2         2
 58       224        56         0         2         2
 59      2204        52         1         6         7
 59      2210        54         0         5         5
 59      2213        54         0         5         5
 59      2231        58         0         1         1
 59       235        58         0         1         1
 59       228        57         0         2         2
 59       231        58         0         1         1
 59       234        58         0         1         1
 60      2233        58         0         2         2
 60      2218        55         1         4         5
 60       239        59         0         1         1
 60       233        58         0         2         2
 60       236        59         0         1         1
 60       238        59         0         1         1
 60       241        60         0         0         0
 61      2235        59         0         2         2
 61      2239        59         0         2         2
 61       240        59         0         2         2
 61       237        59         0         2         2
 61       243        60         0         1         1
 61       245        60         0         1         1
 61       242        60         0         1         1
 62      2226        57         1         4         5
 62      2224        56         1         5         6
 62      2244        60         0         2         2
 62      2225        57         1         4         5
 62       244        60         0         2         2
 62       246        61         0         1         1
 62       249        61         0         1         1
 62       250        61         0         1         1
 62       248        61         0         1         1
 62       252        62         0         0         0
 62       247        61         0         1         1
 63      2221        56         1         6         7
 63      2240        60         0         3         3
 63      2236        59         1         3         4
 63      2243        60         0         3         3
 63       254        62         0         1         1
 63       253        62         0         1         1
 63       255        62         0         1         1
 63       260        63         0         0         0
 63       258        63         0         0         0
 63       256        63         0         0         0
 64      2252        62         0         2         2
 64      2259        63         0         1         1
 64       251        62         0         2         2
 65      2251        62         0         3         3
